"V1"	"V2"	"V3"	"V4"
"1"	0	375	0	1
"2"	1.2161	374	0	0
"3"	1.2994	374	2	0
"4"	1.4103	372	1	0
"5"	1.4936	371	2	0
"6"	1.8542	369	0	1
"7"	2.0206	368	3	0
"8"	2.1593	365	1	0
"9"	2.4922	364	0	0
"10"	2.6587	364	2	1
"11"	3	361	1	0
"12"	3.1303	360	0	0
"13"	3.6019	360	2	0
"14"	3.7128	358	2	0
"15"	3.907	356	2	1
"16"	4.018	353	3	0
"17"	4.1012	350	2	0
"18"	4.2399	348	2	0
"19"	4.3786	346	2	0
"20"	4.5451	344	3	0
"21"	4.656	341	2	0
"22"	4.767	339	2	0
"23"	4.9057	337	2	1
"24"	5.0167	334	2	0
"25"	5.5438	332	1	0
"26"	5.6547	331	1	0
"27"	5.7934	330	2	0
"28"	5.9599	328	2	0
"29"	6	326	0	0
"30"	6.0708	326	0	0
"31"	6.4315	326	3	1
"32"	6.9586	322	2	1
"33"	7.5966	319	1	0
"34"	7.6798	318	2	0
"35"	7.7908	316	2	0
"36"	7.8463	314	0	0
"37"	7.9572	314	2	0
"38"	8.0127	312	1	1
"39"	8.9837	310	1	1
"40"	9.0026	308	1	0
"41"	9.0946	307	1	0
"42"	9.2056	306	2	0
"43"	9.3165	304	1	0
"44"	9.4553	303	2	0
"45"	9.594	301	2	1
"46"	9.8159	298	2	0
"47"	10.0656	296	1	0
"48"	10.3707	295	1	1
"49"	10.6204	293	1	0
"50"	10.7868	292	1	0
"51"	10.981	291	3	0
"52"	11.1197	288	2	1
"53"	11.2862	285	0	0
"54"	11.5358	285	1	0
"55"	11.73	284	0	0
"56"	11.8687	284	1	0
"57"	12	283	2	0
"58"	12.1184	281	2	0
"59"	12.2571	279	2	0
"60"	12.3403	277	1	0
"61"	12.4236	276	3	1
"62"	12.8952	272	1	0
"63"	13.0339	271	2	0
"64"	13.0893	269	2	0
"65"	13.2558	267	3	1
"66"	13.9493	263	2	2
"67"	14.837	259	2	0
"68"	15	257	1	0
"69"	15.3086	256	2	1
"70"	15.4196	253	2	0
"71"	15.6415	251	2	0
"72"	15.808	249	2	1
"73"	16.0022	246	1	0
"74"	16.1409	245	2	0
"75"	16.3073	243	0	0
"76"	16.557	243	2	1
"77"	16.7512	240	3	0
"78"	16.8621	237	1	0
"79"	17.306	236	6	1
"80"	18	229	2	0
"81"	18.0827	227	1	0
"82"	18.7485	226	2	1
"83"	18.8872	223	1	0
"84"	19.2201	222	2	0
"85"	19.3866	220	2	1
"86"	19.553	217	1	0
"87"	19.775	216	2	0
"88"	19.9137	214	1	0
"89"	20.0524	213	2	0
"90"	20.1356	211	1	1
"91"	20.4407	209	3	0
"92"	20.6627	206	2	0
"93"	20.8569	204	2	1
"94"	21	201	1	0
"95"	21.0788	200	0	0
"96"	21.3562	200	2	0
"97"	21.6059	198	0	1
"98"	21.8001	197	1	0
"99"	22.0497	196	0	0
"100"	22.4381	196	1	1
"101"	22.6045	194	1	0
"102"	22.771	193	3	0
"103"	22.9652	190	1	0
"104"	23.1039	189	1	1
"105"	23.2703	187	2	0
"106"	23.4368	185	2	0
"107"	23.52	183	1	0
"108"	23.7142	182	2	0
"109"	24	180	0	5
"110"	24.3245	175	1	13
"111"	25.0458	161	0	1
"112"	25.129	160	2	2
"113"	25.24	156	1	2
"114"	25.3509	153	2	3
"115"	25.5174	148	1	3
"116"	25.7116	144	1	10
"117"	26.2386	133	0	8
"118"	26.7102	125	2	5
"119"	27	118	1	10
"120"	27.5702	107	0	5
"121"	27.8754	102	1	4
"122"	28.0695	97	1	28
"123"	29.7063	68	0	2
"124"	29.8172	66	2	2
"125"	29.9005	62	0	1
"126"	30	61	2	12
"127"	32.7023	47	2	0
