"V1"	"V2"	"V3"	"V4"
"1"	0	553	0	2
"2"	0.3132	551	0	3
"3"	0.7725	548	0	3
"4"	1.1257	545	3	1
"5"	1.3023	541	1	4
"6"	1.9028	536	5	2
"7"	2.1853	529	2	5
"8"	2.8918	522	4	3
"9"	3.2803	515	3	2
"10"	3.4568	510	3	1
"11"	3.598	506	3	2
"12"	3.9513	501	0	0
"13"	3.9958	501	2	0
"14"	4.1632	499	1	0
"15"	4.3043	498	4	0
"16"	4.4454	494	3	1
"17"	4.5512	490	3	0
"18"	4.6217	487	2	0
"19"	4.7629	485	4	0
"20"	4.9041	481	2	1
"21"	5.0453	478	2	0
"22"	5.2573	476	0	0
"23"	5.4338	476	2	1
"24"	5.7869	473	5	0
"25"	5.9283	468	0	1
"26"	6.0695	467	2	0
"27"	6.2107	465	2	0
"28"	6.2812	463	2	0
"29"	6.3869	461	4	1
"30"	6.6343	456	1	0
"31"	6.7048	455	2	0
"32"	6.8814	453	1	0
"33"	6.9871	452	5	1
"34"	7.0576	446	2	0
"35"	7.1637	444	0	1
"36"	7.5523	443	0	0
"37"	7.7287	443	5	0
"38"	7.8699	438	3	0
"39"	8.0035	435	2	0
"40"	8.212	433	2	0
"41"	8.2815	431	1	0
"42"	8.3289	430	0	0
"43"	8.47	430	4	0
"44"	8.6818	426	3	0
"45"	8.823	423	3	0
"46"	9.0701	420	2	0
"47"	9.1053	418	3	0
"48"	9.4938	415	4	0
"49"	9.5996	411	2	0
"50"	9.8823	409	0	0
"51"	9.9881	409	3	1
"52"	10.0587	405	2	0
"53"	10.1645	403	3	0
"54"	10.3411	400	1	0
"55"	10.4469	399	3	0
"56"	10.5882	396	0	0
"57"	10.7294	396	4	0
"58"	10.8353	392	2	0
"59"	10.9764	390	3	0
"60"	11.1883	387	2	0
"61"	11.2589	385	1	0
"62"	11.3647	384	2	0
"63"	11.5059	382	3	0
"64"	11.6473	379	0	0
"65"	11.7886	379	0	0
"66"	11.8945	379	2	0
"67"	12	377	1	0
"68"	12.3536	376	4	0
"69"	12.5654	372	2	0
"70"	12.7067	370	1	0
"71"	12.8833	369	1	1
"72"	13.0245	367	3	0
"73"	13.1305	364	0	0
"74"	13.3071	364	1	0
"75"	13.413	363	2	0
"76"	13.7309	361	2	0
"77"	13.872	359	3	0
"78"	13.978	356	0	1
